#bitsize(pq) p q pq median
17 181 409 74029 0.00513546250294894
17 181 487 88147 0.004698295000707731
17 191 401 76591 0.0044672359799733385
17 191 443 84613 0.004819344998395536
17 191 503 96073 0.004490656498091994
17 193 347 66971 0.004638624497601995
17 193 419 80867 0.004924602497339947
17 193 503 97079 0.004400095003802562
17 197 337 66389 0.004983531496691285
17 197 359 70723 0.0050724300017463975
17 197 439 86483 0.004922769003314897
17 199 401 79799 0.004750235002575209
17 199 409 81391 0.004563179496472003
17 199 463 92137 0.005269807996228337
17 211 317 66887 0.003941995502827922
17 211 337 71107 0.005190916497667786
17 211 347 73217 0.005078910500742495
17 211 461 97271 0.004471580497920513
17 211 499 105289 0.0051812335004797205
17 223 353 78719 0.004666696000640513
17 223 457 101911 0.004628964001312852
17 223 479 106817 0.0051528469994082116
17 223 499 111277 0.004395513497001957
17 227 313 71051 0.004983402504876722
17 227 353 80131 0.005118212502566166
17 227 359 81493 0.004776272500748746
17 227 499 113273 0.004189308499917388
17 229 313 71677 0.0049687200007610954
17 229 397 90913 0.004722311998193618
17 229 457 104653 0.004174458001216408
17 233 347 80851 0.004602244498528307
17 233 397 92501 0.004872616998909507
17 233 461 107413 0.004880214997683652
17 239 347 82933 0.004513446496275719
17 239 421 100619 0.004622616499545984
17 239 467 111613 0.004588930496538524
17 241 313 75433 0.005042019496613648
17 241 337 81217 0.0054146380025486
17 241 373 89893 0.004963991003023693
17 241 383 92303 0.004427826002938673
17 241 463 111583 0.004459127500012983
17 251 311 78061 0.004507220499363029
17 251 373 93623 0.004257317999872612
17 251 401 100651 0.004745483998704003
17 251 419 105169 0.004438361000211444
17 251 467 117217 0.00518042899784632
17 257 317 81469 0.0047312089991464745
17 257 347 89179 0.004496199999266537
17 257 349 89693 0.004692420501669403
17 257 359 92263 0.004716898500191746
17 263 331 87053 0.004724139002064476
17 263 421 110723 0.004627040496416157
17 269 311 83659 0.004651677001675125
17 269 349 93881 0.004880230499111349
17 269 373 100337 0.0043884375008929055
17 269 463 124547 0.004683001501689432
17 269 479 128851 0.004141635999985738
17 269 487 131003 0.0046097484992060345
17 271 379 102709 0.004723264999483945
17 271 397 107587 0.005052976001024945
17 277 337 93349 0.0049139124967041425
17 277 409 113293 0.00444059450092027
17 277 421 116617 0.005692813501809724
17 281 439 123359 0.004669635494792601
17 283 283 80089 0.005715963499824284
17 283 439 124237 0.004571623998344876
17 283 457 129331 0.004919427497952711
17 293 293 85849 0.006793577504140558
17 293 307 89951 0.004636779503925936
17 293 317 92881 0.005339276500308188
17 293 373 109289 0.005195055502554169
17 293 397 116321 0.004915444998914609
17 293 409 119837 0.004722377503640018
17 307 317 97319 0.00472732049820479
17 307 373 114511 0.004591704997437773
17 307 421 129247 0.00458686749698245
17 311 389 120979 0.00450644100055797
17 311 419 130309 0.004736177001177566
17 331 347 114857 0.00522393900246243
17 347 367 127349 0.004685128496930702
18 257 617 158569 0.0074185775010846555
18 257 647 166279 0.007266206499480177
18 257 809 207913 0.007365426998148905
18 263 499 131237 0.005680095502611948
18 263 613 161219 0.007254844000271987
18 263 619 162797 0.006675881500996184
18 263 631 165953 0.007755365000775782
18 269 821 220849 0.007005124498391524
18 269 967 260123 0.006670182996458607
18 271 601 162871 0.006778333005058812
18 271 661 179131 0.006767925002350239
18 271 829 224659 0.006688319503155071
18 271 857 232247 0.006288092979957582
18 271 859 232789 0.007007656502537429
18 277 547 151519 0.007308500004000962
18 277 599 165923 0.007005973999184789
18 277 643 178111 0.006982199498452246
18 277 719 199163 0.007063161501719151
18 277 761 210797 0.007366754998656688
18 277 787 217999 0.007050684002024354
18 277 811 224647 0.006883611000375822
18 277 829 229633 0.007228221500554355
18 277 919 254563 0.006409681500372244
18 281 523 146963 0.007073163000313798
18 281 631 177311 0.006753928999387426
18 281 727 204287 0.006789162500353996
18 283 691 195553 0.0070759445006842725
18 283 739 209137 0.007297199001186527
18 283 797 225551 0.006457963499997277
18 283 827 234041 0.006255996497202432
18 293 521 152653 0.006800197003030917
18 293 523 153239 0.006841643997177016
18 293 593 173749 0.007321348999539623
18 293 877 256961 0.006936491001397371
18 307 607 186349 0.0063942790002329275
18 307 653 200471 0.0067935260049125645
18 307 839 257573 0.006676427998172585
18 307 853 261871 0.006697436001559254
18 311 433 134663 0.005375806998927146
18 311 439 136529 0.00686893299643998
18 311 491 152701 0.004892245000519324
18 311 757 235427 0.007023223497526487
18 311 811 252221 0.0066047675027220976
18 313 659 206267 0.007205369998700917
18 313 733 229429 0.00650904149733833
18 317 433 137261 0.0056997079991560895
18 317 479 151843 0.0055196774992509745
18 317 547 173399 0.00697000900254352
18 317 683 216511 0.007191630000306759
18 317 727 230459 0.0066147040015493985
18 317 769 243773 0.006918441999005154
18 317 811 257087 0.006465105001552729
18 331 499 165169 0.0058203295011480805
18 331 619 204889 0.007323271507630125
18 331 701 232031 0.005824659499921836
18 337 419 141203 0.005672268500347855
18 337 443 149291 0.005726734496420249
18 337 599 201863 0.0073681909998413175
18 337 709 238933 0.00674635900213616
18 337 733 247021 0.006467633498687064
18 337 773 260501 0.006651300998782972
18 347 419 145393 0.0062837535042490344
18 347 571 198137 0.0069040974995004945
18 347 683 237001 0.006962815998122096
18 349 379 132271 0.00546014849896892
18 359 617 221503 0.006653482996625826
18 359 659 236581 0.007032272496871883
18 367 643 235981 0.0071505615014757495
18 367 683 250661 0.006577635002031457
18 373 389 145097 0.006229762995644705
18 373 683 254759 0.006165139999211533
18 379 389 147431 0.005397138000262203
18 379 397 150463 0.004896880498563405
18 379 439 166381 0.00516957399668172
18 383 421 161243 0.005133037000632612
18 383 457 175031 0.005304177000652999
18 389 521 202669 0.007014019996859133
18 397 571 226687 0.006470444001024589
18 397 617 244949 0.00713739750062814
18 401 467 187267 0.0064252800002577715
18 401 569 228169 0.007743502501398325
18 409 523 213907 0.0077776144971721806
18 409 571 233539 0.007198601499112556
18 419 461 193159 0.005325463498593308
18 421 509 214289 0.005882669498532778
18 421 523 220183 0.007447859999956563
18 421 619 260599 0.006938468501175521
18 431 463 199553 0.006317420498817228
18 431 571 246101 0.006380802999046864
18 433 463 200479 0.005330266001692507
18 433 509 220397 0.005607105995295569
18 439 479 210281 0.005463164499815321
18 443 521 230803 0.0070432615029858425
18 449 487 218663 0.005544830997678218
18 449 569 255481 0.006537981498695444
18 461 487 224507 0.00518087049931637
18 467 523 244241 0.007069612500345102
18 467 541 252647 0.00585442699957639
18 487 523 254701 0.006339032999676419
18 499 523 260977 0.006414485000277637
19 263 997 262211 0.007328900501306634
19 277 977 270629 0.007699989997490775
19 307 919 282133 0.007023911497526569
19 313 859 268867 0.007885461003752425
19 313 877 274501 0.007297903997823596
19 317 941 298297 0.007864985498599708
19 317 977 309709 0.007191139997303253
19 317 997 316049 0.007296709500224097
19 331 997 330007 0.006466620998253347
19 337 947 319139 0.007631386997672962
19 349 1019 355631 0.006163126003229991
19 353 773 272869 0.007688441997743212
19 353 857 302521 0.008147032000124454
19 353 983 346999 0.007146339998143958
19 373 821 306233 0.009041127996169962
19 379 701 265679 0.006585167018783977
19 383 929 355807 0.007154504499339964
19 383 1019 390277 0.006074026496207807
19 397 991 393427 0.007093800497386837
19 401 673 269873 0.008109331996820401
