#bitsize(pq) p q pq mean
18 269 967 260123 0.00742883060593158
18 271 601 162871 0.006723737588617951
18 271 661 179131 0.008179091394413262
18 271 829 224659 0.007709542789962142
18 271 857 232247 0.007686877611558884
18 271 859 232789 0.006606670399196446
18 277 547 151519 0.008015927183441818
18 277 599 165923 0.006871623184997589
18 277 643 178111 0.007859979989007115
18 277 719 199163 0.006719460024032742
18 277 761 210797 0.00766722580883652
18 277 787 217999 0.0065910414094105365
18 277 811 224647 0.008906556793954223
18 277 829 229633 0.007848659600131213
18 277 919 254563 0.006752539414446801
18 281 523 146963 0.008348148793447762
18 281 631 177311 0.005718154006171971
18 281 727 204287 0.0073833856149576604
18 283 691 195553 0.0071422196109779176
18 283 739 209137 0.008035677997395397
18 283 797 225551 0.005327138002030551
18 283 827 234041 0.006587092205882073
18 293 521 152653 0.007597371784504503
18 293 523 153239 0.005793976772110909
18 293 593 173749 0.006864793982822448
18 293 877 256961 0.008458658994641155
18 307 607 186349 0.008507368993014098
18 307 653 200471 0.007251775392796844
18 307 839 257573 0.006509972212370485
18 307 853 261871 0.007974343618843704
18 311 433 134663 0.0064127227989956735
18 311 439 136529 0.0032595054130069912
18 311 491 152701 0.006328693998511881
18 311 757 235427 0.007284274196717888
18 311 811 252221 0.006198279012460261
18 313 659 206267 0.008578875800594687
18 313 733 229429 0.0063037056126631795
18 317 433 137261 0.007786535192281008
18 317 479 151843 0.006326460198033601
18 317 547 173399 0.009289708407595753
18 317 683 216511 0.00819077278720215
18 317 727 230459 0.007072647206950933
18 317 769 243773 0.007622521405573934
18 317 811 257087 0.01001424741698429
18 331 499 165169 0.00527537459274754
18 331 619 204889 0.008379912213422358
18 331 701 232031 0.0075950030121020974
18 337 419 141203 0.006048398395068944
18 337 443 149291 0.005856535991188139
18 337 599 201863 0.006100748002063483
18 337 709 238933 0.004842642997391522
18 337 733 247021 0.00450444360030815
18 337 773 260501 0.006126369396224618
18 347 419 145393 0.005272741802036763
18 347 571 198137 0.01001141278538853
18 347 683 237001 0.008749819593504071
18 349 379 132271 0.0069467787980102
18 359 617 221503 0.00413302737288177
18 359 659 236581 0.007072492607403546
18 367 643 235981 0.005957261205185205
18 367 683 250661 0.005942787788808346
18 373 389 145097 0.006893521186430007
18 373 683 254759 0.007365687016863376
18 379 389 147431 0.00574868741678074
18 379 397 150463 0.007221217616461217
18 379 439 166381 0.0047918330179527405
18 383 421 161243 0.006186850403901189
18 383 457 175031 0.004275030200369656
18 389 521 202669 0.008618242014199496
