#bitsize(pq) p q pq std
17 223 353 78719 0.000203079209296446
17 223 457 101911 0.006668945908109978
17 223 479 106817 0.00036014763683195106
17 223 499 111277 0.0006239115378294302
17 227 313 71051 0.00032335142137077317
17 227 353 80131 0.006594697719704117
17 227 359 81493 0.0003720964515542503
17 227 499 113273 0.00030762997666369086
17 229 313 71677 0.0003780611017150629
17 229 397 90913 0.000490677395379055
17 229 457 104653 0.006498910889539769
17 233 347 80851 0.0005139778422499689
17 233 397 92501 0.0002964252491385759
17 233 461 107413 0.000349865645471999
17 239 347 82933 0.0064934298275751475
17 239 421 100619 8.142863953194481e-05
17 239 467 111613 0.007949027947513712
17 241 313 75433 5.4780138723905085e-05
17 241 337 81217 0.006577090944891971
17 241 373 89893 8.019502391551329e-05
17 241 383 92303 0.013171732219458632
17 241 463 111583 0.0004631474971012762
17 251 311 78061 0.00024367274779200847
17 251 373 93623 0.0016857701426907133
17 251 401 100651 0.1566538565136598
17 251 419 105169 0.09822887273060497
17 251 467 117217 0.017677306056996783
17 257 317 81469 0.015861871829261725
17 257 347 89179 0.0066143938453859
17 257 349 89693 0.0004939208016940006
17 257 359 92263 0.01311935693903854
17 263 331 87053 7.436071405844199e-05
17 263 421 110723 0.0004091003673235616
17 269 311 83659 0.006598250820456948
17 269 349 93881 0.0002656942634047749
17 269 373 100337 0.006486033285078484
17 269 463 124547 0.006531455929378434
17 269 479 128851 0.0005729092462681717
17 269 487 131003 0.01293519268856924
17 271 379 102709 0.012906468179416099
17 271 397 107587 0.00037398612971913564
17 277 337 93349 0.013074861773869875
17 277 409 113293 0.00026776856063670616
17 277 421 116617 0.007924510054403203
17 281 439 123359 0.0004636661434021653
17 283 283 80089 0.0005022134751844207
17 283 439 124237 0.00019502685600357713
17 283 457 129331 0.012924117178862958
17 293 293 85849 0.0064602230643261175
17 293 307 89951 0.01615783095360712
17 293 317 92881 0.00012798831219013008
17 293 373 109289 0.0004795321119764225
17 293 397 116321 0.013007653232271956
17 293 409 119837 9.268959546260204e-05
17 307 317 97319 0.0004495488626533033
17 307 373 114511 0.00022011535312175778
17 307 421 129247 0.0010942470174007614
17 311 389 120979 0.006442702810473994
17 311 419 130309 0.0002505874727937637
17 331 347 114857 0.0001836589322694406
17 347 367 127349 0.015978554471256165
18 257 617 158569 0.012694423521732123
18 257 647 166279 0.015544332701725536
18 257 809 207913 0.00040022104267999455
18 263 499 131237 0.013039738159896461
18 263 613 161219 0.015915599293369772
18 263 619 162797 0.015672382667725925
18 263 631 165953 0.016125841796950376
18 269 821 220849 0.015656724610762184
18 269 967 260123 0.00037525220964596814
18 271 601 162871 0.012852563553980054
18 271 661 179131 0.015828551601950045
18 271 829 224659 0.00036240767605457764
18 271 857 232247 0.015797448491200284
18 271 859 232789 0.01570494044583718
18 277 547 151519 0.013282549760335476
18 277 599 165923 0.0001604128642516603
18 277 643 178111 2.934018493018334e-05
18 277 719 199163 0.03243632216282337
18 277 761 210797 0.01298349107557736
18 277 787 217999 0.015442870638355682
