#bitsize(pq) p q pq min
16 197 269 52993 0.03202774003148079
16 197 277 54569 0.06448498897952959
16 199 211 41989 0.033230394998099655
16 199 229 45571 0.03317631297977641
16 199 239 47561 0.015894934011157602
16 199 263 52337 0.03208364703459665
16 211 227 47897 0.015935336996335536
16 211 257 54227 0.06412520096637309
16 211 271 57181 0.06471082899952307
16 211 293 61823 0.06437055999413133
16 223 263 58649 0.0642386190011166
16 227 227 51529 0.016022205003537238
16 227 233 52891 0.015992251981515437
16 227 251 56977 0.03204817295772955
16 229 251 57479 0.03235646599205211
16 229 257 58853 0.06432001601206139
16 229 271 62059 0.06439437496010214
16 233 263 61279 0.06495976896258071
16 233 281 65473 0.032082843012176454
16 241 251 60491 0.01594743103487417
16 241 263 63383 0.06472647102782503
17 137 487 66719 0.06433612899854779
17 139 509 70751 0.0641740930150263
17 149 463 68987 0.06433750496944413
17 149 509 75841 0.06511871604016051
17 151 461 69611 0.06419994099996984
17 151 491 74141 0.032011995965149254
17 157 419 65783 0.06413523602532223
17 157 439 68923 0.03200659202411771
17 157 487 76459 0.03210155002307147
17 163 421 68623 0.06770263897487894
17 163 439 71557 0.06531051202910021
17 163 461 75143 0.06442610605154186
17 167 439 73313 0.06428265199065208
17 167 443 73981 0.03204051801003516
17 173 419 72487 0.06421465502353385
17 173 449 77677 0.06454868899891153
17 179 373 66767 0.06419345701579005
17 179 457 81803 0.06451428803848103
17 181 367 66427 0.06438771897228435
17 181 397 71857 0.06450846401276067
17 181 409 74029 0.06427911698119715
17 181 487 88147 0.06421503599267453
17 191 401 76591 0.06427044497104362
17 191 443 84613 0.06446116894949228
17 191 503 96073 0.06419610499870032
17 193 347 66971 0.06426530098542571
17 193 419 80867 0.0320392869762145
17 193 503 97079 0.06443141703493893
17 197 337 66389 0.03199078800389543
17 197 359 70723 0.032071461027953774
17 197 439 86483 0.06417361396597698
17 199 401 79799 0.06414015800692141
17 199 409 81391 0.06416189903393388
17 199 463 92137 0.0641973209567368
17 211 317 66887 0.06422310904599726
17 211 337 71107 0.03204521496081725
17 211 347 73217 0.06435343099292368
17 211 461 97271 0.06526270002359524
17 211 499 105289 0.06439637002767995
17 223 353 78719 0.06431738304672763
17 223 457 101911 0.06454585201572627
17 223 479 106817 0.06439927697647363
17 223 499 111277 0.06426387699320912
17 227 313 71051 0.06500021496322006
17 227 353 80131 0.06421207502717152
17 227 359 81493 0.06468248000601307
17 227 499 113273 0.06450388301163912
17 229 313 71677 0.06422671297332272
17 229 397 90913 0.06454808305716142
17 229 457 104653 0.06446417601546273
17 233 347 80851 0.06531318498309702
17 233 397 92501 0.06518114998470992
17 233 461 107413 0.06429445400135592
17 239 347 82933 0.032049739034846425
17 239 421 100619 0.06413611798780039
17 239 467 111613 0.03205113799776882
